Kicker,Latent Skill (z),Confidence (σ),Certified Score,Power Rating
R.Aguayo,-0.009546749,0.054471508,-0.09125401,18.026901
P.Dawson,-0.007565449,0.055872742,-0.09137456,17.916958
K.Brown,-0.015741413,0.050787557,-0.09192275,17.417006
D.Boyd,-0.013106947,0.053663783,-0.09360262,15.884957
J.Nedney,-0.014597319,0.052676268,-0.093611725,15.876655
M.Knorr,-0.016153973,0.051660467,-0.09364468,15.846601
J.Hilbert,-0.012754376,0.054112416,-0.093922995,15.592773
W.Welker,-0.017221482,0.05177683,-0.09488673,14.713845
B.Gowins,-0.017153947,0.051891588,-0.09499133,14.618451
D.Ogunbowale,-0.015095366,0.05362394,-0.09553128,14.126014
P.Edinger,-0.029908674,0.044177927,-0.09617557,13.538419
S.Castillo,-0.014803249,0.0544307,-0.0964493,13.288772
J.Medlock,-0.02097394,0.05035544,-0.0965071,13.236056
A.Henery,-0.016688664,0.053556032,-0.09702271,12.765817
J.Arians,-0.013025332,0.056174286,-0.09728676,12.525003
M.Hollis,-0.016403878,0.05534638,-0.099423446,10.576337
D.Brien,-0.019072723,0.053673025,-0.099582255,10.431501
C.Boniol,-0.0018851977,0.06513786,-0.09959199,10.422621
C.Catanzaro,-0.015206095,0.05682784,-0.10044785,9.6420765
N.Kaeding,-0.013726004,0.057823718,-0.10046158,9.629554
C.Jacke,-0.0150159225,0.057464674,-0.10121293,8.944315
S.Lechler,-0.021536952,0.053830292,-0.10228239,7.968966
J.Hall,-0.011154409,0.0619786,-0.1041223,6.290956
Z.Hocker,-0.023655875,0.054755606,-0.10578929,4.770657
J.Chandler,-0.032158226,0.04926436,-0.10605477,4.5285387
J.Gillan,-0.022760134,0.055616796,-0.10618533,4.409464
J.Elam,-0.01772977,0.059978362,-0.10769731,3.0305343
C.Stitser,-0.017182678,0.06105356,-0.10876302,2.0586028
E.Murray,-0.02422207,0.056434255,-0.10887345,1.9578878
S.Lindsey,-0.018398726,0.06174768,-0.111020245,0.0
